,City,Country_Code,Input_Lat,Input_Lon,Actual_Lat,Actual_Lon,MaxTemp,Humidity,Cloudiness,Wind_Speed,Date_Time,Hemisphere
85,kalyazin,RU,57,38,57.2403,37.8433,55.49,71,46,6.85,6/16/2021 - 14:31:27,Northern
87,sola,VU,-12,171,-13.8833,167.55,81.01,78,46,13.24,6/16/2021 - 14:31:28,Southern
89,svetlogorsk,BY,67,88,52.6333,29.7333,59.4,83,10,7.76,6/16/2021 - 14:31:28,Northern
91,busselton,AU,-49,101,-33.65,115.3333,41.09,78,0,7.27,6/16/2021 - 14:31:29,Southern
92,gamba,GA,-5,8,-2.65,10,75.47,86,34,6.96,6/16/2021 - 14:31:29,Southern
94,torbay,CA,43,-44,47.6666,-52.7314,61.57,100,90,12.66,6/16/2021 - 14:31:29,Northern
96,mahebourg,MU,-44,75,-20.4081,57.7,71.89,83,40,10.36,6/16/2021 - 14:31:30,Southern
99,kadungora,ID,-7,108,-7.0899,107.8864,67.37,97,100,1.79,6/16/2021 - 14:31:30,Southern
101,northam,GB,-32,117,51.0333,-4.2167,65.01,85,100,7.18,6/16/2021 - 14:31:31,Northern
102,bengkulu,ID,-18,90,-3.8004,102.2655,74.95,90,100,3.87,6/16/2021 - 14:31:31,Southern
104,port blair,IN,12,93,11.6667,92.75,82.99,81,100,15.64,6/16/2021 - 14:31:31,Northern
106,mehamn,NO,83,29,71.0357,27.8492,42.98,70,40,21.85,6/16/2021 - 14:31:32,Northern
107,saint-augustin,CA,55,-59,51.226,-58.6502,49.17,90,100,8.08,6/16/2021 - 14:31:32,Northern
109,bluff,NZ,-79,170,-46.6,168.3333,40.8,79,99,12.15,6/16/2021 - 14:31:33,Southern
111,dikson,RU,82,83,73.5069,80.5464,37.42,74,16,19.46,6/16/2021 - 14:31:33,Northern
112,greenville,US,33,-91,35.6127,-77.3663,85.3,44,1,11.5,6/16/2021 - 14:31:33,Northern
113,tuktoyaktuk,CA,84,-122,69.4541,-133.0374,55.4,67,75,13.8,6/16/2021 - 14:31:34,Northern
114,barrow,US,89,-144,71.2906,-156.7887,44.62,70,1,8.05,6/16/2021 - 14:31:34,Northern
115,auki,SB,-4,163,-8.7676,160.7034,76.46,86,17,3.89,6/16/2021 - 14:31:34,Southern
118,cabo san lucas,MX,5,-119,22.8909,-109.9124,101.8,43,1,16.11,6/16/2021 - 14:29:47,Northern
119,chitral,PK,36,72,35.8462,71.7858,67.19,37,1,5.95,6/16/2021 - 14:31:35,Northern
123,bambous virieux,MU,-23,62,-20.3428,57.7575,71.85,83,40,10.36,6/16/2021 - 14:31:35,Southern
124,lazaro cardenas,MX,9,-107,17.9583,-102.2,85.32,71,99,6.87,6/16/2021 - 14:31:36,Northern
125,jamestown,US,-22,-2,42.097,-79.2353,69.3,42,88,5.01,6/16/2021 - 14:28:39,Northern
126,troitskiy,RU,57,64,57.0603,63.7481,61.43,90,100,6.4,6/16/2021 - 14:31:36,Northern
127,nelson bay,AU,-33,153,-32.7167,152.15,54.09,79,2,19.01,6/16/2021 - 14:31:36,Southern
130,krasnovka,RU,49,40,48.8177,40.0923,68.95,70,18,7.7,6/16/2021 - 14:31:37,Northern
131,krasnoselkup,RU,68,82,65.7,82.4667,53.46,90,28,7.11,6/16/2021 - 14:31:37,Northern
134,saint anthony,US,53,-53,45.0205,-93.218,88.84,35,1,1.99,6/16/2021 - 14:31:38,Northern
135,iskateley,RU,68,53,67.6803,53.1512,42.48,62,68,11.7,6/16/2021 - 14:31:38,Northern
136,tiksi,RU,73,132,71.6872,128.8694,55.45,66,13,14.61,6/16/2021 - 14:31:38,Northern
141,castro,BR,-47,-106,-24.7911,-50.0119,55.44,81,80,6.51,6/16/2021 - 14:31:39,Southern
142,gasa,PS,29,90,31.5,34.4667,75.18,65,0,9.62,6/16/2021 - 14:31:39,Northern
143,east london,ZA,-83,58,-33.0153,27.9116,64.63,79,100,9.98,6/16/2021 - 14:31:40,Southern
145,aswan,EG,22,29,24.0934,32.907,89.47,14,0,16.26,6/16/2021 - 14:31:40,Northern
152,khuldabad,IN,20,75,20.05,75.1833,75.45,77,100,7.29,6/16/2021 - 14:31:41,Northern
154,houma,US,29,-91,29.5958,-90.7195,93.99,70,100,9.46,6/16/2021 - 14:31:41,Northern
156,severo-kurilsk,RU,40,159,50.6789,156.125,48.25,77,99,7.23,6/16/2021 - 14:31:42,Northern
158,linguere,SN,15,-15,15.3953,-15.1193,88.81,42,67,17.31,6/16/2021 - 14:31:42,Northern
159,port lincoln,AU,-40,130,-34.7333,135.8667,57.92,74,99,12.86,6/16/2021 - 14:31:43,Southern
164,thompson,CA,58,-97,55.7435,-97.8558,73.56,49,90,9.22,6/16/2021 - 14:27:46,Northern
168,luderitz,NA,-35,0,-26.6481,15.1594,60.89,76,91,2.19,6/16/2021 - 14:31:44,Southern
169,ponta do sol,PT,34,-18,32.6667,-17.1,73,77,100,5.26,6/16/2021 - 14:31:44,Northern
171,camacha,PT,37,-16,33.0833,-16.3333,69.53,77,75,17.27,6/16/2021 - 14:31:44,Northern
173,eureka,US,41,-128,40.8021,-124.1637,71.13,73,2,5.01,6/16/2021 - 14:31:45,Northern
175,lavrentiya,RU,75,-171,65.5833,-171,39.67,84,99,5.64,6/16/2021 - 14:31:45,Northern
177,victoria point,AU,-27,155,-27.5833,153.3,64.38,96,29,1.99,6/16/2021 - 14:31:45,Southern
179,mombetsu,JP,45,143,44.3525,143.3525,52.99,96,33,1.05,6/16/2021 - 14:31:46,Northern
181,cherskiy,RU,75,158,68.75,161.3,39,79,100,2.37,6/16/2021 - 14:31:46,Northern
182,tuatapere,NZ,-55,157,-46.1333,167.6833,40.82,90,56,2.13,6/16/2021 - 14:31:47,Southern
185,talnakh,RU,80,93,69.4865,88.3972,51.89,93,100,7.31,6/16/2021 - 14:31:47,Northern
186,esperance,AU,-35,123,-33.8667,121.9,51.64,69,100,14.47,6/16/2021 - 14:31:47,Southern
188,gat,IL,27,10,31.61,34.7642,74.08,100,1,7.78,6/16/2021 - 14:31:48,Northern
189,beloha,MG,-32,42,-25.1667,45.05,64.33,75,30,10.22,6/16/2021 - 14:31:48,Southern
191,port elizabeth,ZA,-75,34,-33.918,25.5701,61.09,82,75,9.22,6/16/2021 - 14:31:49,Southern
193,teguise,ES,32,-13,29.0605,-13.564,70.02,64,40,14.97,6/16/2021 - 14:31:49,Northern
197,kavaratti,IN,10,64,10.5669,72.642,82.96,80,100,24.2,6/16/2021 - 14:31:50,Northern
199,geraldton,AU,-33,102,-28.7667,114.6,48.61,93,0,5.75,6/16/2021 - 14:31:50,Southern
203,portland,US,-58,129,45.5234,-122.6762,75.51,53,3,3,6/16/2021 - 14:27:58,Northern
204,sovetskiy,RU,70,66,61.3614,63.5842,63.25,80,57,5.26,6/16/2021 - 14:31:51,Northern
205,cotonou,BJ,4,3,6.3654,2.4183,82.38,78,40,14.97,6/16/2021 - 14:31:51,Northern
206,aksarka,RU,64,69,66.5606,67.7975,56.98,49,39,11.12,6/16/2021 - 14:31:51,Northern
207,alofi,NU,-20,-171,-19.0595,-169.9187,67.89,100,94,2.3,6/16/2021 - 14:31:52,Southern
208,odienne,CI,9,-8,9.51,-7.5692,79.27,64,10,4.16,6/16/2021 - 14:31:52,Northern
209,port alfred,ZA,-60,34,-33.5906,26.891,61.41,87,100,10.63,6/16/2021 - 14:31:52,Southern
210,norman wells,CA,66,-126,65.282,-126.8329,66.24,42,20,11.5,6/16/2021 - 14:31:53,Northern
213,manikpur,IN,25,81,25.0667,81.1167,83.77,67,100,10.67,6/16/2021 - 14:31:53,Northern
214,hobyo,SO,4,48,5.3505,48.5268,77.34,86,99,25.3,6/16/2021 - 14:31:53,Northern
215,grimshaw,CA,57,-118,56.1834,-117.6027,56.82,67,75,31.07,6/16/2021 - 14:27:9,Northern
216,saint-philippe,RE,-29,57,-21.3585,55.7679,71.15,84,63,12.93,6/16/2021 - 14:31:54,Southern
218,vardo,NO,84,38,70.3705,31.1107,44.8,57,0,19.57,6/16/2021 - 14:31:54,Northern
219,quatre cocos,MU,-16,66,-20.2078,57.7625,71.71,81,81,15.64,6/16/2021 - 14:31:55,Southern
222,yumen,CN,37,93,40.2833,97.2,60.64,25,11,6.71,6/16/2021 - 14:31:55,Northern
223,padang,ID,-7,93,-0.9492,100.3543,76.46,76,33,3.22,6/16/2021 - 14:31:55,Southern
224,tura,IN,64,101,25.5198,90.2201,74.01,93,99,6.04,6/16/2021 - 14:31:56,Northern
225,jati,PK,24,68,24.3539,68.2671,86.11,70,0,11.81,6/16/2021 - 14:31:56,Northern
226,monte alegre de minas,BR,-19,-49,-18.8706,-48.8808,79.45,20,38,7.78,6/16/2021 - 14:31:56,Southern
227,puerto ayora,EC,-1,-94,-0.7393,-90.3518,78.76,84,21,7,6/16/2021 - 14:31:57,Southern
228,krasnoyarsk,RU,56,93,56.0097,92.7917,50.4,96,82,4.54,6/16/2021 - 14:31:57,Northern
229,khani,GE,56,120,41.9563,42.9566,62.17,80,3,4.9,6/16/2021 - 14:31:57,Northern
231,arraial do cabo,BR,-37,-32,-22.9661,-42.0278,73.36,73,20,14.97,6/16/2021 - 14:31:58,Southern
232,yellowknife,CA,68,-109,62.456,-114.3525,52.32,71,90,29.93,6/16/2021 - 14:29:46,Northern
233,tazmalt,DZ,36,5,36.3868,4.3989,85.08,31,48,1.66,6/16/2021 - 14:31:58,Northern
238,la union,PE,-40,-73,-5.4,-80.75,85.05,45,19,16.24,6/16/2021 - 14:31:59,Southern
240,kandrian,PG,-6,149,-6.2167,149.55,76.08,93,100,7.96,6/16/2021 - 14:31:59,Southern
241,lorengau,PG,0,145,-2.0226,147.2712,80.49,77,100,4.27,6/16/2021 - 14:31:59,Southern
242,esfahan,IR,33,52,32.6572,51.6776,78.44,16,0,8.34,6/16/2021 - 14:32:0,Northern
244,saint-georges,GD,7,-45,12.0564,-61.7485,83.88,79,20,17.27,6/16/2021 - 14:32:0,Northern
250,grand gaube,MU,-12,62,-20.0064,57.6608,72,84,67,7,6/16/2021 - 14:32:1,Southern
254,kaitangata,NZ,-56,173,-46.2817,169.8464,47.93,86,100,7.81,6/16/2021 - 14:32:2,Southern
255,kieta,PG,-2,159,-6.2167,155.6333,77.41,83,79,4.97,6/16/2021 - 14:32:2,Southern
257,chokurdakh,RU,78,147,70.6333,147.9167,39.18,61,98,10.09,6/16/2021 - 14:32:2,Northern
258,avarua,CK,-36,-162,-21.2078,-159.775,77.05,83,20,13.8,6/16/2021 - 14:32:3,Southern
260,hobart,AU,-79,140,-42.8794,147.3294,51.26,94,90,5.75,6/16/2021 - 14:32:3,Southern
271,zhigalovo,RU,54,105,54.8097,105.1578,46.47,97,43,4.5,6/16/2021 - 14:32:4,Northern
274,grindavik,IS,60,-24,63.8424,-22.4338,46.35,61,0,24.16,6/16/2021 - 14:32:5,Northern
275,coihaique,CL,-50,-78,-45.5752,-72.0662,45.21,65,0,4.61,6/16/2021 - 14:32:5,Southern
280,visby,SE,57,18,57.6409,18.296,61.02,67,0,9.22,6/16/2021 - 14:32:6,Northern
281,georgetown,MY,-15,-23,5.4112,100.3354,82.89,87,20,5.01,6/16/2021 - 14:32:6,Northern
282,tutoia,BR,4,-41,-2.7619,-42.2744,84.18,85,2,7.56,6/16/2021 - 14:32:6,Southern
284,henties bay,NA,-23,6,-22.116,14.2845,56.86,90,54,9.13,6/16/2021 - 14:32:7,Southern
286,xining,CN,36,102,36.6167,101.7667,46.62,88,100,2.1,6/16/2021 - 14:30:57,Northern
288,purna,IN,19,77,19.1833,77.05,77.95,72,100,12.26,6/16/2021 - 14:32:8,Northern
290,klaksvik,FO,80,-4,62.2266,-6.589,49.12,93,99,25.1,6/16/2021 - 14:32:8,Northern
293,saskylakh,RU,86,110,71.9167,114.0833,63,53,49,6.46,6/16/2021 - 14:32:8,Northern
294,rancho palos verdes,US,32,-119,33.7445,-118.387,96.21,73,40,5.01,6/16/2021 - 14:32:9,Northern
295,gorontalo,ID,0,124,0.5412,123.0595,73.85,92,51,2.55,6/16/2021 - 14:32:9,Northern
298,japura,ID,-2,-69,-0.3167,102.35,73.76,87,75,1.01,6/16/2021 - 14:32:10,Southern
299,uppsala,SE,60,18,60,17.75,63.91,48,68,8.05,6/16/2021 - 14:32:10,Northern
300,kodiak,US,44,-157,57.79,-152.4072,47.71,87,90,6.91,6/16/2021 - 14:32:10,Northern
302,huilong,CN,32,122,31.8111,121.655,75.04,94,100,8.12,6/16/2021 - 14:32:11,Northern
304,jaguarari,BR,-10,-40,-10.2639,-40.1958,77.59,52,1,5.61,6/16/2021 - 14:32:11,Southern
305,shimoda,JP,24,143,34.6667,138.95,67.15,82,100,11.65,6/16/2021 - 14:32:11,Northern
310,coquimbo,CL,-28,-84,-29.9533,-71.3436,64.13,63,0,13.8,6/16/2021 - 14:32:12,Southern
311,san patricio,US,14,-107,28.017,-97.5169,93.18,45,0,12.44,6/16/2021 - 14:32:12,Northern
316,homer,US,58,-149,59.6425,-151.5483,54.09,80,97,11.99,6/16/2021 - 14:32:13,Northern
317,banjar,ID,-10,107,-8.19,114.9675,80.46,91,82,1.97,6/16/2021 - 14:32:13,Southern
325,port hardy,CA,48,-132,50.6996,-127.4199,57.38,77,75,6.91,6/16/2021 - 14:30:5,Northern
329,vila franca do campo,PT,42,-19,37.7167,-25.4333,70.21,90,96,5.79,6/16/2021 - 14:32:15,Northern
330,ust-barguzin,RU,54,109,53.45,108.9833,40.48,96,99,4.09,6/16/2021 - 14:32:15,Northern
331,cukai,MY,4,105,4.25,103.4167,78.94,83,57,3.33,6/16/2021 - 14:32:15,Northern
335,praia da vitoria,PT,48,-23,38.7333,-27.0667,68.76,94,75,4.45,6/16/2021 - 14:29:7,Northern
336,swellendam,ZA,-34,21,-34.0226,20.4417,53.98,75,1,4.76,6/16/2021 - 14:32:16,Southern
337,sault sainte marie,CA,47,-84,46.5168,-84.3333,66.02,37,20,12.66,6/16/2021 - 14:28:9,Northern
338,muroto,JP,29,136,33.2833,134.15,70.14,83,17,11.48,6/16/2021 - 14:32:16,Northern
340,rocha,UY,-52,-38,-34.4833,-54.3333,50.7,67,100,9.84,6/16/2021 - 14:27:26,Southern
343,namibe,AO,-17,8,-15.1961,12.1522,67.19,72,28,9.82,6/16/2021 - 14:32:17,Southern
344,bongandanga,CD,2,21,1.5,21.05,75.22,79,98,2.1,6/16/2021 - 14:32:17,Northern
346,port macquarie,AU,-37,161,-31.4333,152.9167,49.96,100,0,0,6/16/2021 - 14:32:18,Southern
349,amapa,BR,2,-51,1,-52,81.97,72,9,4.97,6/16/2021 - 14:32:18,Northern
355,luwingu,ZM,-10,30,-10.2621,29.9271,52.84,48,1,4.32,6/16/2021 - 14:32:19,Southern
357,airai,TL,17,147,-8.9266,125.4092,54.81,64,64,2.59,6/16/2021 - 14:32:19,Southern
358,le port,RE,-19,54,-20.9373,55.2919,71.56,94,38,3.42,6/16/2021 - 14:32:20,Southern
363,egvekinot,RU,64,-179,66.3167,-179.1667,33.93,94,100,4.94,6/16/2021 - 14:30:0,Northern
365,narsaq,GL,80,-66,60.9167,-46.05,48.42,74,66,6.29,6/16/2021 - 14:32:21,Northern
371,kirakira,SB,-11,162,-10.4544,161.9205,78.44,84,88,5.86,6/16/2021 - 14:32:21,Southern
375,shunyi,CN,41,117,40.125,116.6453,69.75,88,100,4.47,6/16/2021 - 14:32:22,Northern
378,mareeba,AU,-16,143,-17,145.4333,66.43,95,76,1.05,6/16/2021 - 14:32:23,Southern
379,tautira,PF,-18,-143,-17.7333,-149.15,80.62,82,94,23.06,6/16/2021 - 14:32:23,Southern
382,korla,CN,37,88,41.7597,86.1469,71.31,21,100,5.55,6/16/2021 - 14:32:23,Northern
383,gumdag,TM,39,55,39.2061,54.5906,86.27,14,0,12.64,6/16/2021 - 14:32:24,Northern
385,leh,IN,33,79,34.1667,77.5833,46.63,73,88,3.38,6/16/2021 - 14:32:24,Northern
389,morant bay,JM,15,-76,17.8815,-76.4093,89.62,70,22,12.93,6/16/2021 - 14:32:25,Northern
390,angoram,PG,-4,145,-4.0625,144.0661,72.43,99,88,0.87,6/16/2021 - 14:32:25,Southern
393,dingle,PH,51,-16,10.9995,122.6711,77,90,3,1.63,6/16/2021 - 14:32:26,Northern
399,ancud,CL,-42,-104,-41.8697,-73.8203,53.13,62,1,7.81,6/16/2021 - 14:32:26,Southern
401,urumqi,CN,43,90,43.801,87.6005,70.75,23,0,6.71,6/16/2021 - 14:32:27,Northern
406,iqaluit,CA,60,-75,63.7506,-68.5145,40.73,65,40,4,6/16/2021 - 14:30:12,Northern
413,westport,US,56,-15,41.1415,-73.3579,79.36,40,0,3,6/16/2021 - 14:30:57,Northern
420,soyo,AO,-7,13,-6.1349,12.3689,74.71,86,4,7.27,6/16/2021 - 14:32:29,Southern
424,chaihe,CN,45,130,44.7667,129.7,59,79,100,4.83,6/16/2021 - 14:32:29,Northern
425,la rioja,ES,-30,-68,42.25,-2.5,64.18,89,50,3.76,6/16/2021 - 14:32:30,Northern
427,souillac,MU,-37,66,-20.5167,57.5167,71.98,83,40,10.36,6/16/2021 - 14:32:30,Southern
431,christchurch,NZ,-50,178,-43.5333,172.6333,49.03,96,90,1.99,6/16/2021 - 14:28:55,Southern
433,jiayuguan,CN,39,98,39.8167,98.3,59.68,37,45,5.79,6/16/2021 - 14:32:31,Northern
434,mirnyy,RU,62,113,62.5353,113.9611,53.26,84,64,2.95,6/16/2021 - 14:32:31,Northern
435,ambilobe,MG,-10,48,-13.2,49.05,69.73,86,92,3.69,6/16/2021 - 14:32:32,Southern
436,chapais,CA,53,-76,49.7834,-74.8492,47.21,84,100,9.19,6/16/2021 - 14:32:32,Northern
438,hongjiang,CN,27,110,27.11,109.9956,77.34,93,89,3.78,6/16/2021 - 14:32:32,Northern
439,provideniya,RU,41,-178,64.3833,-173.3,39.31,75,90,4.47,6/16/2021 - 14:32:33,Northern
444,faanui,PF,0,-156,-16.4833,-151.75,80.91,72,100,22.06,6/16/2021 - 14:32:33,Southern
445,isla mujeres,MX,24,-87,21.2311,-86.731,84.25,86,100,10.58,6/16/2021 - 14:32:34,Northern
451,cayenne,GF,6,-49,4.9333,-52.3333,84.24,82,40,5.99,6/16/2021 - 14:32:34,Northern
456,susanville,US,40,-121,40.4163,-120.653,83.8,9,6,2.77,6/16/2021 - 14:32:35,Northern
460,asau,RO,-9,179,46.4333,26.4,63.39,90,100,7.65,6/16/2021 - 14:32:36,Northern
465,haridwar,IN,30,78,29.9667,78.1667,78.06,73,85,3.27,6/16/2021 - 14:32:36,Northern
466,the valley,AI,22,-63,18.217,-63.0578,86.14,74,40,18.41,6/16/2021 - 14:31:21,Northern
475,banda aceh,ID,4,89,5.5577,95.3222,79.9,76,100,9.91,6/16/2021 - 14:32:38,Northern
476,nuzvid,IN,17,81,16.7833,80.85,82.67,68,100,8.72,6/16/2021 - 14:32:38,Northern
479,santa rosalia,MX,28,-112,27.3167,-112.2833,91,30,8,6.2,6/16/2021 - 14:32:38,Northern
481,belmonte,BR,-17,-34,-15.8631,-38.8828,80.6,71,72,7.18,6/16/2021 - 14:32:39,Southern
484,san antonio,US,-34,-73,29.4241,-98.4936,97.05,43,75,9.22,6/16/2021 - 14:29:48,Northern
486,koungheul,SN,14,-15,13.9833,-14.8,95.67,36,100,9.22,6/16/2021 - 14:32:40,Northern
488,hervey bay,AU,-24,159,-25.2986,152.8535,66.02,95,100,3,6/16/2021 - 14:32:40,Southern
490,capinota,BO,-18,-66,-17.7167,-66.2333,74.61,28,37,4.45,6/16/2021 - 14:32:40,Southern
498,port victoria,KE,0,34,0.0939,33.9756,69.22,77,98,6.71,6/16/2021 - 14:32:41,Northern
502,bandar-e lengeh,IR,26,54,26.5579,54.8807,86.45,74,0,7.25,6/16/2021 - 14:32:42,Northern
504,kahului,US,32,-148,20.8947,-156.47,80.83,74,51,10,6/16/2021 - 14:32:42,Northern
506,nanakuli,US,17,-161,21.3906,-158.1547,81.99,62,46,9.15,6/16/2021 - 14:32:43,Northern
507,san quintin,MX,23,-124,30.4833,-115.95,72.63,67,68,12.12,6/16/2021 - 14:32:43,Northern
510,port hedland,AU,-23,119,-20.3167,118.5667,59.05,72,90,10.36,6/16/2021 - 14:32:44,Southern
514,nikolskoye,RU,40,176,59.7035,30.7861,60.69,70,100,3.78,6/16/2021 - 14:32:44,Northern
