,City,Country_Code,Input_Lat,Input_Lon,Actual_Lat,Actual_Lon,MaxTemp,Humidity,Cloudiness,Wind_Speed,Date_Time,Hemisphere
0,rundu,NA,-17,20,-17.9333,19.7667,57.94,27,11,4.74,6/16/2021 - 14:31:7,Southern
1,ushuaia,AR,-81,-82,-54.8,-68.3,40.62,87,0,3.44,6/16/2021 - 14:31:8,Southern
2,chuy,UY,-49,-37,-33.6971,-53.4616,51.49,68,100,10.69,6/16/2021 - 14:31:8,Southern
3,pevek,RU,83,172,69.7008,170.3133,32.27,95,96,7.11,6/16/2021 - 14:31:8,Northern
4,mogzon,RU,52,112,51.7435,111.9606,41.86,95,100,7.49,6/16/2021 - 14:31:9,Northern
5,cape town,ZA,-53,1,-33.9258,18.4232,60.89,85,75,1.99,6/16/2021 - 14:26:13,Southern
7,rikitea,PF,-56,-120,-23.1203,-134.9692,74.07,80,94,22.95,6/16/2021 - 14:31:9,Southern
8,punta arenas,CL,-83,-117,-53.15,-70.9167,42.91,81,0,6.91,6/16/2021 - 14:31:9,Southern
9,mataura,NZ,-60,-151,-46.1927,168.8643,40.48,96,98,2.17,6/16/2021 - 14:31:10,Southern
10,qaanaaq,GL,78,-80,77.484,-69.3632,36.9,82,99,3.33,6/16/2021 - 14:31:10,Northern
12,slantsy,RU,59,28,59.1182,28.0914,53.38,71,24,3.65,6/16/2021 - 14:31:10,Northern
13,sanghar,PK,26,69,26.0466,68.9481,87.87,59,0,18.63,6/16/2021 - 14:31:11,Northern
14,mahajanga,MG,-16,46,-15.7167,46.3167,73.42,64,20,6.91,6/16/2021 - 14:31:11,Southern
15,butaritari,KI,7,171,3.0707,172.7902,83.53,73,88,14.34,6/16/2021 - 14:31:11,Northern
16,codrington,AU,24,-58,-38.2667,141.9667,48.27,85,97,3.51,6/16/2021 - 14:31:12,Southern
17,albany,US,-58,112,42.6001,-73.9662,72.84,41,5,5.01,6/16/2021 - 14:29:20,Northern
19,araouane,ML,18,-5,18.9048,-3.5265,97.88,11,7,1.03,6/16/2021 - 14:31:12,Northern
22,new norfolk,AU,-65,138,-42.7826,147.0587,50.92,84,100,1.57,6/16/2021 - 14:31:13,Southern
23,hithadhoo,MV,-15,75,-0.6,73.0833,83.68,74,41,8.46,6/16/2021 - 14:31:13,Southern
24,natal,BR,-4,-30,-5.795,-35.2094,84.85,61,20,14.97,6/16/2021 - 14:31:13,Southern
25,andenes,NO,72,16,69.3143,16.1194,44.58,65,75,11.5,6/16/2021 - 14:31:13,Northern
26,vaini,TO,-23,-175,-21.2,-175.2,75.36,94,75,3.44,6/16/2021 - 14:31:14,Southern
27,bredasdorp,ZA,-57,24,-34.5322,20.0403,54.72,82,5,3.44,6/16/2021 - 14:31:14,Southern
29,rabaul,PG,-4,152,-4.1967,152.1721,78.1,80,37,3.94,6/16/2021 - 14:31:14,Southern
30,maridi,SS,5,30,4.9158,29.4742,67.1,94,100,4.56,6/16/2021 - 14:31:15,Northern
31,palmer,US,62,-148,42.1584,-72.3287,76.5,34,20,3,6/16/2021 - 14:31:15,Northern
33,berlevag,NO,86,32,70.8578,29.0864,42.8,65,75,24.16,6/16/2021 - 14:31:15,Northern
34,korem,ET,12,40,12.5058,39.5228,63.37,35,93,2.75,6/16/2021 - 14:31:16,Northern
35,victoria,HK,0,60,22.2855,114.1577,86.38,84,100,4,6/16/2021 - 14:30:54,Northern
39,atuona,PF,-8,-128,-9.8,-139.0333,79.48,74,14,25.12,6/16/2021 - 14:31:16,Southern
41,arlit,NE,22,6,18.7369,7.3853,91.94,10,0,13.53,6/16/2021 - 14:31:17,Northern
42,emba,KZ,49,58,48.8264,58.1442,80.42,27,72,8.66,6/16/2021 - 14:31:17,Northern
43,san carlos de bariloche,AR,-40,-70,-41.1456,-71.3082,38.95,45,75,0,6/16/2021 - 14:31:17,Southern
44,tomohon,ID,1,124,1.3346,124.8392,67.14,92,31,2.51,6/16/2021 - 14:31:18,Northern
45,hilo,US,6,-159,19.7297,-155.09,82.27,92,100,4,6/16/2021 - 14:30:52,Northern
48,chernyy yar,RU,48,46,48.0624,46.1091,75.34,56,33,11.07,6/16/2021 - 14:31:18,Northern
49,dharur,IN,19,76,18.8167,76.1167,73.15,80,100,11.48,6/16/2021 - 14:31:19,Northern
50,thinadhoo,MV,-1,64,0.5333,72.9333,83.89,73,65,10,6/16/2021 - 14:31:19,Northern
51,saldanha,ZA,-37,1,-33.0117,17.9442,57.25,91,7,8.1,6/16/2021 - 14:31:19,Southern
53,trairi,BR,1,-37,-3.2778,-39.2689,82.81,69,2,10.58,6/16/2021 - 14:29:6,Southern
54,saint george,US,30,-52,37.1041,-113.5841,113.47,9,1,1.01,6/16/2021 - 14:31:20,Northern
55,mar del plata,AR,-60,-33,-38.0023,-57.5575,48.99,64,75,3,6/16/2021 - 14:27:30,Southern
56,belyy yar,RU,62,85,53.6039,91.3903,51.69,100,72,0,6/16/2021 - 14:31:20,Northern
58,mahalapye,BW,-23,27,-23.1041,26.8142,59.29,34,3,5.86,6/16/2021 - 14:31:21,Southern
59,hermanus,ZA,-49,10,-34.4187,19.2345,57.9,81,0,7.58,6/16/2021 - 14:31:21,Southern
60,niigata,JP,38,139,37.9022,139.0236,60.93,85,32,5.44,6/16/2021 - 14:31:21,Northern
61,manosque,FR,44,6,43.8288,5.7869,73.71,82,8,4.41,6/16/2021 - 14:31:22,Northern
62,kapaa,US,6,-169,22.0752,-159.319,80.58,80,53,3,6/16/2021 - 14:31:22,Northern
63,ron phibun,TH,8,100,8.1791,99.8542,76.1,92,96,4.43,6/16/2021 - 14:31:22,Northern
64,flinders,AU,-37,130,-34.5833,150.8552,52.18,71,10,11.01,6/16/2021 - 14:31:22,Southern
65,carnarvon,AU,-25,103,-24.8667,113.6333,51.87,57,0,11.5,6/16/2021 - 14:31:23,Southern
66,anadyr,RU,62,175,64.75,177.4833,41.5,80,20,21.99,6/16/2021 - 14:31:23,Northern
67,guerrero negro,MX,21,-125,27.9769,-114.0611,79.48,49,45,8.46,6/16/2021 - 14:28:11,Northern
68,obeliai,LT,56,25,55.9667,25.15,53.29,82,13,2.55,6/16/2021 - 14:31:23,Northern
69,yulara,AU,-28,131,-25.2406,130.9889,48.04,49,100,4.61,6/16/2021 - 14:31:24,Southern
70,leningradskiy,RU,89,177,69.3833,178.4167,54.93,64,31,8.77,6/16/2021 - 14:31:24,Northern
71,sioux lookout,CA,54,-90,50.1001,-91.917,78.87,44,75,10.36,6/16/2021 - 14:31:24,Northern
72,ivybridge,GB,50,-4,50.3904,-3.9191,66.7,82,93,8.77,6/16/2021 - 14:31:25,Northern
74,cabrero,CL,-37,-72,-37.0333,-72.4,62.91,55,14,2.57,6/16/2021 - 14:28:31,Southern
76,bethel,US,44,-171,41.3712,-73.414,77.41,47,0,1.01,6/16/2021 - 14:31:25,Northern
78,kitob,UZ,39,67,39.0843,66.8332,75.78,16,0,5.44,6/16/2021 - 14:31:26,Northern
79,naze,JP,22,137,28.3667,129.4833,75.31,88,92,11.83,6/16/2021 - 14:31:26,Northern
82,lompoc,US,24,-132,34.6391,-120.4579,104.11,34,40,4,6/16/2021 - 14:31:27,Northern
83,mount gambier,AU,-50,131,-37.8333,140.7667,46.31,100,100,4.61,6/16/2021 - 14:31:27,Southern
84,pangnirtung,CA,60,-62,66.1451,-65.7125,41,81,75,16.11,6/16/2021 - 14:31:27,Northern
