,City,Country_Code,Input_Lat,Input_Lon,Actual_Lat,Actual_Lon,MaxTemp,Humidity,Cloudiness,Wind_Speed,Date_Time,Hemisphere
140,hasaki,JP,26,161,35.7333,140.8333,60.8,94,75,13.8,5/1/2021 - 9:18:9,Northern
141,hoopstad,ZA,-28,26,-27.8327,25.9083,66.7,32,4,5.59,5/1/2021 - 9:19:7,Southern
143,gatbo,PH,13,124,13.5833,123.3833,74.53,86,41,3.49,5/1/2021 - 9:19:7,Northern
145,chokurdakh,RU,80,145,70.6333,147.9167,0.97,99,20,4.09,5/1/2021 - 9:17:18,Northern
149,tabou,CI,1,-6,4.423,-7.3528,83.89,74,100,11.21,5/1/2021 - 9:19:8,Northern
150,lompoc,US,29,-125,34.6391,-120.4579,50,100,90,9.22,5/1/2021 - 9:18:26,Northern
151,saint-philippe,RE,-50,65,-21.3585,55.7679,80.6,74,75,4.61,5/1/2021 - 9:17:8,Southern
152,salalah,OM,11,62,17.0151,54.0924,86,74,75,10.36,5/1/2021 - 9:17:10,Northern
155,rock springs,US,42,-109,41.5875,-109.2029,53.6,35,1,5.75,5/1/2021 - 9:19:8,Northern
156,jamestown,US,-26,-6,42.097,-79.2353,46,48,1,4.61,5/1/2021 - 9:15:33,Northern
159,hualmay,PE,-12,-79,-11.0964,-77.6139,69.08,81,86,6.71,5/1/2021 - 9:17:44,Southern
161,atar,MR,22,-9,20.5169,-13.0499,94.55,13,0,5.44,5/1/2021 - 9:19:10,Northern
163,bonavista,CA,52,-52,48.6499,-53.1147,50,100,99,5.75,5/1/2021 - 9:16:46,Northern
164,saint george,US,34,-56,37.1041,-113.5841,62.6,36,1,3.04,5/1/2021 - 9:15:6,Northern
165,ancud,CL,-42,-93,-41.8697,-73.8203,55,94,75,4.61,5/1/2021 - 9:19:10,Southern
167,kulhudhuffushi,MV,7,70,6.6221,73.07,84.45,71,58,6.49,5/1/2021 - 9:19:11,Northern
170,matay,EG,27,28,28.419,30.7792,103.01,6,1,22.44,5/1/2021 - 9:19:11,Northern
174,yellowknife,CA,88,-106,62.456,-114.3525,21,73,75,12.66,5/1/2021 - 9:16:0,Northern
176,venustiano carranza,MX,25,-103,19.43,-99.0992,64.4,68,1,2.04,5/1/2021 - 9:19:12,Northern
179,mehamn,NO,85,29,71.0357,27.8492,34.68,74,89,16.08,5/1/2021 - 9:18:29,Northern
181,manggar,ID,-3,109,-2.8833,108.2667,82.38,76,53,5.57,5/1/2021 - 9:19:13,Southern
182,castro,BR,-46,-87,-24.7911,-50.0119,64.94,68,56,7.87,5/1/2021 - 9:17:17,Southern
183,guerrero negro,MX,21,-120,27.9769,-114.0611,62.62,80,6,5.03,5/1/2021 - 9:19:13,Northern
185,weligama,LK,4,80,5.9667,80.4167,81.3,79,86,4.25,5/1/2021 - 9:19:14,Northern
186,altay,CN,48,87,47.8667,88.1167,45.59,50,5,13.8,5/1/2021 - 9:18:14,Northern
192,san patricio,US,3,-115,28.017,-97.5169,75.2,94,75,12.66,5/1/2021 - 9:17:14,Northern
195,huilong,CN,32,122,31.8111,121.655,64,81,52,3,5/1/2021 - 9:19:15,Northern
196,merauke,ID,-8,140,-8.4667,140.3333,77.88,86,22,12.88,5/1/2021 - 9:19:15,Southern
198,nikolskoye,RU,53,167,59.7035,30.7861,45,49,0,17.9,5/1/2021 - 9:16:49,Northern
